,Restaurant,Week,Day,This Week,Last Week,Last Year,vs. LW,vs. LW %,vs. LY,vs. LY %
173,Angelica,Next Week,Saturday,4.0,0.0,0.0,4.0,4.0,4.0,4.0
174,Angelica,Next Week,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
30,Angelica,Next Week,Full Week,4.0,0.0,8.0,4.0,4.0,-4.0,-0.5
183,Angelica,Two Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
187,Angelica,Two Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
188,Angelica,Two Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
186,Angelica,Two Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1216,Angelica,Two Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
184,Angelica,Two Weeks,Saturday,0.0,14.0,0.0,-14.0,-1.0,0.0,1.0
185,Angelica,Two Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
35,Angelica,Two Weeks,Full Week,0.0,14.0,0.0,-14.0,-1.0,0.0,1.0
181,Angelica,Three Weeks,Monday,6.0,0.0,0.0,6.0,6.0,6.0,6.0
1214,Angelica,Three Weeks,Tuesday,0.0,0.0,8.0,0.0,1.0,-8.0,-1.0
1215,Angelica,Three Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
182,Angelica,Three Weeks,Thursday,0.0,3.0,0.0,-3.0,-1.0,0.0,1.0
1520,Angelica,Three Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1212,Angelica,Three Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1213,Angelica,Three Weeks,Sunday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
34,Angelica,Three Weeks,Full Week,6.0,3.0,8.0,3.0,1.0,-2.0,-0.25
170,Angelica,Four Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1508,Angelica,Four Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
171,Angelica,Four Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
169,Angelica,Four Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1507,Angelica,Four Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
29,Angelica,Four Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1207,Angelica,Five Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1506,Angelica,Five Weeks,Tuesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1208,Angelica,Five Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
168,Angelica,Five Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
28,Angelica,Five Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
178,Angelica,Six Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1513,Angelica,Six Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
180,Angelica,Six Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1211,Angelica,Six Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
179,Angelica,Six Weeks,Saturday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
32,Angelica,Six Weeks,Full Week,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1209,Angelica,Seven Weeks,Monday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1512,Angelica,Seven Weeks,Wednesday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1210,Angelica,Seven Weeks,Thursday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1511,Angelica,Seven Weeks,Friday,0.0,0.0,0.0,0.0,1.0,0.0,1.0
